"","ListenerGroup","mTurkCode","ItemNum","Resp","Timing_Click.Count","Timing_First.Click","Timing_Last.Click","Timing_Page.Submit"
"741","V2",7723805,"X29","A native English speaker
1","1","0.281","0.281","0.293"
"801","V2",7914282,"X29","


3","1","0.608","0.608","0.62"
"861","V2",8728142,"X29","


4","1","0.529","0.529","0.538"
"921","V2",9087447,"X29","


3","1","1.029","1.029","1.042"
"981","V2",9827116,"X29","


6","1","2.694","2.694","2.602"
"1041","V2",9896160,"X29","


7","1","1.684","1.684","1.6"
"1101","V2",9919213,"X29","


5","1","0.499","0.499","0.57"
"22","V2",1316157,"X3","An extremely strong
foreign accent
9","1","0.151","0.151","0.101"
"82","V2",2174606,"X3","An extremely strong
foreign accent
9","1","0.346","0.346","0.367"
"142","V2",2218028,"X3","


8","1","1.981","1.981","1.989"
"202","V2",2620688,"X3","


8","1","0.31","0.31","0.349"
"262","V2",3410389,"X3","


8","1","0.196","0.196","0.276"
"322","V2",3485279,"X3","An extremely strong
foreign accent
9","1","0.031","0.031","0.047"
"382","V2",3855539,"X3","


4","1","1.529","1.529","1.558"
"442","V2",3927255,"X3","


7","1","0.466","0.466","0.473"
"502","V2",4464430,"X3","


6","1","0.405","0.405","0.378"
"562","V2",5641834,"X3","


8","1","1.312","1.312","1.327"
"622","V2",5721779,"X3","An extremely strong
foreign accent
9","1","0.36","0.36","0.369"
"682","V2",7348964,"X3","


3","1","0.518","0.518","0.555"
"742","V2",7723805,"X3","An extremely strong
foreign accent
9","1","0.243","0.243","0.27"
"802","V2",7914282,"X3","


8","1","0.46","0.46","0.473"
"862","V2",8728142,"X3","


7","1","1.955","1.955","1.965"
"922","V2",9087447,"X3","


7","1","1.136","1.136","1.149"
"982","V2",9827116,"X3","


5","1","1.52","1.52","1.541"
"1042","V2",9896160,"X3","


7","1","1.454","1.454","1.472"
"1102","V2",9919213,"X3","


5","1","0.941","0.941","0.902"
"23","V2",1316157,"X30","An extremely strong
foreign accent
9","1","0.168","0.168","0.108"
"83","V2",2174606,"X30","


5","1","0.804","0.804","0.826"
"143","V2",2218028,"X30","A native English speaker
1","1","0.032","0.032","0.042"
"203","V2",2620688,"X30","


8","1","0.292","0.292","0.21"
"263","V2",3410389,"X30","


3","1","0.572","0.572","0.5"
"323","V2",3485279,"X30","An extremely strong
foreign accent
9","1","4.131","4.131","4.154"
"383","V2",3855539,"X30","


6","1","1.968","1.968","1.993"
"443","V2",3927255,"X30","


2","1","0.271","0.271","0.277"
"503","V2",4464430,"X30","


5","1","0.505","0.505","0.607"
"563","V2",5641834,"X30","


3","1","0.652","0.652","0.666"
"623","V2",5721779,"X30","


6","1","0.338","0.338","0.345"
"683","V2",7348964,"X30","


3","1","0.992","0.992","0.906"
"743","V2",7723805,"X30","


3","1","0.244","0.244","0.263"
"803","V2",7914282,"X30","


3","1","0.416","0.416","0.429"
"863","V2",8728142,"X30","


5","1","0.429","0.429","0.437"
"923","V2",9087447,"X30","


5","1","0.672","0.672","0.684"
"983","V2",9827116,"X30","


2","1","3.211","3.211","3.22"
"1043","V2",9896160,"X30","


5","1","0.259","0.259","0.275"
"1103","V2",9919213,"X30","


3","1","0.1","0.1","0.279"
"24","V2",1316157,"X31","


7","1","0.322","0.322","0.384"
"84","V2",2174606,"X31","


6","1","1.558","1.558","1.58"
"144","V2",2218028,"X31","A native English speaker
1","1","0.039","0.039","0.049"
"204","V2",2620688,"X31","An extremely strong
foreign accent
9","1","0.167","0.167","0.101"
"264","V2",3410389,"X31","


7","1","1.137","1.137","1.204"
"324","V2",3485279,"X31","An extremely strong
foreign accent
9","1","1.859","1.859","1.889"
"384","V2",3855539,"X31","


5","1","1.035","1.035","1.075"
"444","V2",3927255,"X31","


4","2","0.559","0.8","0.807"
"504","V2",4464430,"X31","


7","1","0.735","0.735","0.728"
"564","V2",5641834,"X31","


3","1","1.332","1.332","1.346"
"624","V2",5721779,"X31","


6","1","0.479","0.479","0.487"
"684","V2",7348964,"X31","


2","1","0.412","0.412","0.443"
"744","V2",7723805,"X31","A native English speaker
1","1","0.394","0.394","0.421"
"804","V2",7914282,"X31","


6","1","0.288","0.288","0.301"
"864","V2",8728142,"X31","


6","2","1.007","1.532","1.545"
"924","V2",9087447,"X31","


7","1","1.033","1.033","1.046"
"984","V2",9827116,"X31","


4","1","0.899","0.899","0.909"
"1044","V2",9896160,"X31","


4","1","0.566","0.566","0.586"
"1104","V2",9919213,"X31","


3","1","2.307","2.307","2.393"
"25","V2",1316157,"X32","A native English speaker
1","1","0.285","0.285","0.246"
"85","V2",2174606,"X32","A native English speaker
1","1","0.514","0.514","0.533"
"145","V2",2218028,"X32","A native English speaker
1","1","0.011","0.011","0.02"
"205","V2",2620688,"X32","


8","1","0.903","0.903","0.928"
"265","V2",3410389,"X32","A native English speaker
1","1","0.115","0.115","0.158"
"325","V2",3485279,"X32","


8","1","0.267","0.267","0.293"
"385","V2",3855539,"X32","An extremely strong
foreign accent
9","1","2.509","2.509","2.537"
"445","V2",3927255,"X32","


4","1","0.101","0.101","0.107"
"505","V2",4464430,"X32","


5","1","1.618","1.618","1.726"
"565","V2",5641834,"X32","A native English speaker
1","1","0.457","0.457","0.47"
"625","V2",5721779,"X32","


2","1","0.463","0.463","0.472"
"685","V2",7348964,"X32","


2","1","0.621","0.621","0.652"
"745","V2",7723805,"X32","A native English speaker
1","1","0.416","0.416","0.45"
"805","V2",7914282,"X32","A native English speaker
1","1","0.266","0.266","0.28"
"865","V2",8728142,"X32","


2","1","0.97","0.97","0.978"
"925","V2",9087447,"X32","


2","1","1.812","1.812","1.825"
"985","V2",9827116,"X32","A native English speaker
1","1","1.807","1.807","1.817"
"1045","V2",9896160,"X32","


4","1","0.477","0.477","0.492"
"1105","V2",9919213,"X32","


2","1","0.294","0.294","0.419"
"26","V2",1316157,"X33","


7","1","1.658","1.658","1.641"
"86","V2",2174606,"X33","A native English speaker
1","1","0.57","0.57","0.591"
"146","V2",2218028,"X33","A native English speaker
1","1","0.016","0.016","0.025"
"206","V2",2620688,"X33","A native English speaker
1","1","0.376","0.376","0.398"
"266","V2",3410389,"X33","


2","1","0.3","0.3","0.339"
"326","V2",3485279,"X33","An extremely strong
foreign accent
9","1","0.214","0.214","0.266"
"386","V2",3855539,"X33","


5","1","19.622","19.622","19.653"
"446","V2",3927255,"X33","


3","1","0.33","0.33","0.336"
"506","V2",4464430,"X33","


4","1","0.798","0.798","0.887"
"566","V2",5641834,"X33","


3","1","0.798","0.798","0.818"
"626","V2",5721779,"X33","


5","1","0.225","0.225","0.235"
"686","V2",7348964,"X33","A native English speaker
1","1","0.908","0.908","0.943"
"746","V2",7723805,"X33","A native English speaker
1","1","0.272","0.272","0.288"
"806","V2",7914282,"X33","


6","1","0.692","0.692","0.601"
"866","V2",8728142,"X33","


4","1","0.497","0.497","0.402"
"926","V2",9087447,"X33","


6","1","0.653","0.653","0.665"
"986","V2",9827116,"X33","


6","1","2.475","2.475","2.484"
"1046","V2",9896160,"X33","


3","1","0.471","0.471","0.489"
"1106","V2",9919213,"X33","


3","1","0.199","0.199","0.253"
"27","V2",1316157,"X34","


6","1","0.154","0.154","0.1"
"87","V2",2174606,"X34","


5","1","0.53","0.53","0.549"
"147","V2",2218028,"X34","


4","1","1.487","1.487","1.497"
"207","V2",2620688,"X34","An extremely strong
foreign accent
9","1","0.079","0.079","0"
"267","V2",3410389,"X34","


4","2","0.111","0.602","0.893"
"327","V2",3485279,"X34","An extremely strong
foreign accent
9","2","8.943","9.324","9.343"
"387","V2",3855539,"X34","


6","1","8.306","8.306","8.353"
"447","V2",3927255,"X34","


4","1","0.207","0.207","0.214"
"507","V2",4464430,"X34","


7","1","0.554","0.554","0.589"
"567","V2",5641834,"X34","


2","1","1.273","1.273","1.289"
"627","V2",5721779,"X34","


5","1","0.368","0.368","0.375"
"687","V2",7348964,"X34","


7","1","1.073","1.073","1.094"
"747","V2",7723805,"X34","A native English speaker
1","1","0.424","0.424","0.443"
"807","V2",7914282,"X34","


6","2","0.522","1.281","1.297"
"867","V2",8728142,"X34","


2","1","1.241","1.241","1.25"
"927","V2",9087447,"X34","


4","1","1.117","1.117","1.124"
"987","V2",9827116,"X34","


5","1","2.315","2.315","2.324"
"1047","V2",9896160,"X34","


6","1","0.821","0.821","0.844"
"1107","V2",9919213,"X34","


2","1","0.254","0.254","0.202"
"28","V2",1316157,"X35","An extremely strong
foreign accent
9","1","0.005","0.005","0"
"88","V2",2174606,"X35","


5","1","0.863","0.863","0.881"
"148","V2",2218028,"X35","


8","1","2.591","2.591","2.6"
"208","V2",2620688,"X35","An extremely strong
foreign accent
9","1","0.007","0.007","0.044"
"268","V2",3410389,"X35","


2","1","3.637","3.637","3.661"
"328","V2",3485279,"X35","An extremely strong
foreign accent
9","1","0.097","0.097","0.117"
"388","V2",3855539,"X35","


6","1","1.333","1.333","1.366"
"448","V2",3927255,"X35","


4","1","0.25","0.25","0.257"
"508","V2",4464430,"X35","


7","1","0.676","0.676","0.625"
"568","V2",5641834,"X35","


3","1","0.77","0.77","0.788"
"628","V2",5721779,"X35","


5","1","0.681","0.681","0.688"
"688","V2",7348964,"X35","


2","1","0.462","0.462","0.488"
"748","V2",7723805,"X35","A native English speaker
1","1","0.284","0.284","0.299"
"808","V2",7914282,"X35","


4","1","2.293","2.293","2.2"
"868","V2",8728142,"X35","


4","1","0.541","0.541","0.557"
"928","V2",9087447,"X35","


6","1","1.128","1.128","1.144"
"988","V2",9827116,"X35","


4","1","1.112","1.112","1.122"
"1048","V2",9896160,"X35","


3","1","0.267","0.267","0.286"
"1108","V2",9919213,"X35","


4","1","0.423","0.423","0.489"
"29","V2",1316157,"X36","


3","1","0.186","0.186","0.139"
"89","V2",2174606,"X36","


5","1","0.409","0.409","0.426"
"149","V2",2218028,"X36","A native English speaker
1","1","1.059","1.059","1.069"
"209","V2",2620688,"X36","An extremely strong
foreign accent
9","1","0.148","0.148","0.101"
"269","V2",3410389,"X36","


5","1","2.341","2.341","2.377"
"329","V2",3485279,"X36","


7","2","1.947","2.579","2.501"
"389","V2",3855539,"X36","


6","1","15.728","15.728","15.757"
"449","V2",3927255,"X36","


4","1","0.714","0.714","0.722"
"509","V2",4464430,"X36","


6","1","0.248","0.248","0.206"
"569","V2",5641834,"X36","A native English speaker
1","1","0.619","0.619","0.632"
"629","V2",5721779,"X36","


6","1","0.277","0.277","0.286"
"689","V2",7348964,"X36","


6","1","0.574","0.574","0.501"
"749","V2",7723805,"X36","A native English speaker
1","1","0.51","0.51","0.545"
"809","V2",7914282,"X36","


7","1","0.506","0.506","0.519"
"869","V2",8728142,"X36","


4","1","1.125","1.125","1.138"
"929","V2",9087447,"X36","


3","1","1.021","1.021","1.035"
"989","V2",9827116,"X36","


5","1","2.549","2.549","2.561"
"1049","V2",9896160,"X36","


3","1","1.955","1.955","1.972"
"1109","V2",9919213,"X36","


2","1","0.602","0.602","1.214"
"30","V2",1316157,"X37","


2","2","0.143","0.573","0.501"
"90","V2",2174606,"X37","


2","1","2.003","2.003","2.022"
"150","V2",2218028,"X37","A native English speaker
1","1","0.154","0.154","0.164"
"210","V2",2620688,"X37","


8","1","0.241","0.241","0.278"
"270","V2",3410389,"X37","


3","1","0.145","0.145","0.206"
"330","V2",3485279,"X37","A native English speaker
1","1","1.416","1.416","1.43"
"390","V2",3855539,"X37","


5","1","6.365","6.365","6.274"
"450","V2",3927255,"X37","A native English speaker
1","1","0.002","0.002","0.008"
"510","V2",4464430,"X37","


2","1","0.119","0.119","0.564"
"570","V2",5641834,"X37","A native English speaker
1","1","1.153","1.153","1.171"
"630","V2",5721779,"X37","


2","1","1.657","1.657","1.664"
"690","V2",7348964,"X37","


2","1","0.442","0.442","0.464"
"750","V2",7723805,"X37","


3","1","0.237","0.237","0.267"
"810","V2",7914282,"X37","A native English speaker
1","1","0.64","0.64","0.657"
"870","V2",8728142,"X37","


2","1","1.013","1.013","1.024"
"930","V2",9087447,"X37","A native English speaker
1","1","1.7","1.7","1.713"
"990","V2",9827116,"X37","


3","1","0.888","0.888","0.899"
"1050","V2",9896160,"X37","A native English speaker
1","1","0.249","0.249","0.27"
"1110","V2",9919213,"X37","


2","1","0.712","0.712","0.644"
"31","V2",1316157,"X38","A native English speaker
1","1","0.009","0.009","0"
"91","V2",2174606,"X38","A native English speaker
1","1","0.575","0.575","0.594"
"151","V2",2218028,"X38","A native English speaker
1","1","0.073","0.073","0.083"
"211","V2",2620688,"X38","A native English speaker
1","1","15.828","15.828","15.866"
"271","V2",3410389,"X38","


3","1","0.228","0.228","0.201"
"331","V2",3485279,"X38","An extremely strong
foreign accent
9","1","0.022","0.022","0.039"
"391","V2",3855539,"X38","


8","1","5.152","5.152","5.074"
"451","V2",3927255,"X38","


3","1","0.335","0.335","0.342"
"511","V2",4464430,"X38","


5","1","0.201","0.201","0.278"
"571","V2",5641834,"X38","


3","1","0.962","0.962","0.987"
"631","V2",5721779,"X38","


3","1","0.269","0.269","0.276"
"691","V2",7348964,"X38","


5","1","0.974","0.974","0.997"
"751","V2",7723805,"X38","


7","1","0.143","0.143","0.16"
"811","V2",7914282,"X38","


2","1","0.536","0.536","0.549"
"871","V2",8728142,"X38","


4","1","1.126","1.126","1.138"
"931","V2",9087447,"X38","


6","1","1.957","1.957","1.964"
"991","V2",9827116,"X38","


2","1","1.286","1.286","1.294"
"1051","V2",9896160,"X38","


2","1","37.622","37.622","37.641"
"1111","V2",9919213,"X38","


2","1","0.278","0.278","0.695"
"32","V2",1316157,"X39","


2","2","3.145","3.728","3.689"
"92","V2",2174606,"X39","A native English speaker
1","1","0.284","0.284","0.201"
"152","V2",2218028,"X39","A native English speaker
1","2","0.192","0.488","0.495"
"212","V2",2620688,"X39","A native English speaker
1","1","2.715","2.715","2.76"
"272","V2",3410389,"X39","


2","1","0.828","0.828","0.742"
"332","V2",3485279,"X39","


7","2","0.139","0.57","0.584"
"392","V2",3855539,"X39","


6","1","4.056","4.056","4.088"
"452","V2",3927255,"X39","


3","1","0.149","0.149","0.155"
"512","V2",4464430,"X39","


6","0","0","0","0"
"572","V2",5641834,"X39","


2","1","1.686","1.686","1.6"
"632","V2",5721779,"X39","


3","1","0.344","0.344","0.352"
"692","V2",7348964,"X39","


4","1","0.81","0.81","0.833"
"752","V2",7723805,"X39","A native English speaker
1","1","0.117","0.117","0.149"
"812","V2",7914282,"X39","A native English speaker
1","1","0.294","0.294","0.307"
"872","V2",8728142,"X39","


3","1","0.509","0.509","0.518"
"932","V2",9087447,"X39","A native English speaker
1","1","0.854","0.854","0.868"
"992","V2",9827116,"X39","


4","1","1.199","1.199","1.21"
"1052","V2",9896160,"X39","


2","1","0.195","0.195","0.1"
"1112","V2",9919213,"X39","A native English speaker
1","1","0.558","0.558","0.509"
"33","V2",1316157,"X4","An extremely strong
foreign accent
9","1","0.009","0.009","0.096"
"93","V2",2174606,"X4","An extremely strong
foreign accent
9","1","0.163","0.163","0.184"
"153","V2",2218028,"X4","


5","1","0.321","0.321","0.33"
"213","V2",2620688,"X4","An extremely strong
foreign accent
9","1","0.3","0.3","0.46"
"273","V2",3410389,"X4","An extremely strong
foreign accent
9","1","0.282","0.282","0.21"
"333","V2",3485279,"X4","An extremely strong
foreign accent
9","1","0.684","0.684","0.702"
"393","V2",3855539,"X4","


4","1","2.037","2.037","2.063"
"453","V2",3927255,"X4","


7","1","0.465","0.465","0.471"
"513","V2",4464430,"X4","


8","1","0.189","0.189","0.255"
"573","V2",5641834,"X4","


7","1","0.6","0.6","0.716"
"633","V2",5721779,"X4","


8","1","0.514","0.514","0.522"
"693","V2",7348964,"X4","


7","1","0.838","0.838","0.862"
"753","V2",7723805,"X4","


8","1","0.347","0.347","0.373"
"813","V2",7914282,"X4","An extremely strong
foreign accent
9","1","0.244","0.244","0.255"
"873","V2",8728142,"X4","An extremely strong
foreign accent
9","1","1.428","1.428","1.439"
"933","V2",9087447,"X4","An extremely strong
foreign accent
9","1","0.274","0.274","0.288"
"993","V2",9827116,"X4","


7","2","3.05","3.958","3.968"
"1053","V2",9896160,"X4","


7","1","0.432","0.432","0.452"
"1113","V2",9919213,"X4","


5","1","1.729","1.729","1.661"
"34","V2",1316157,"X40","


4","1","2.112","2.112","2.16"
"94","V2",2174606,"X40","


6","1","1.28","1.28","1.201"
"154","V2",2218028,"X40","A native English speaker
1","1","0.073","0.073","0.082"
"214","V2",2620688,"X40","


8","1","0.126","0.126","0.175"
"274","V2",3410389,"X40","


3","1","0.088","0.088","0"
"334","V2",3485279,"X40","


7","1","1.826","1.826","1.844"
"394","V2",3855539,"X40","


5","1","1.115","1.115","1.039"
"454","V2",3927255,"X40","


4","1","0.284","0.284","0.29"
"514","V2",4464430,"X40","


6","1","3.362","3.362","3.444"
"574","V2",5641834,"X40","


2","1","0.749","0.749","0.766"
"634","V2",5721779,"X40","


4","1","0.305","0.305","0.312"
"694","V2",7348964,"X40","


7","1","1.129","1.129","1.164"
"754","V2",7723805,"X40","


4","1","0.695","0.695","0.735"
"814","V2",7914282,"X40","


2","1","1.002","1.002","1.022"
"874","V2",8728142,"X40","


4","1","1.577","1.577","1.586"
"934","V2",9087447,"X40","


3","1","1.872","1.872","1.881"
"994","V2",9827116,"X40","


4","1","1.397","1.397","1.407"
"1054","V2",9896160,"X40","


7","1","0.378","0.378","0.393"
"1114","V2",9919213,"X40","A native English speaker
1","1","1.181","1.181","1.104"
"35","V2",1316157,"X41","An extremely strong
foreign accent
9","1","0.262","0.262","0.2"
"95","V2",2174606,"X41","


6","1","0.228","0.228","0.25"
"155","V2",2218028,"X41","A native English speaker
1","1","0.006","0.006","0.015"
"215","V2",2620688,"X41","An extremely strong
foreign accent
9","1","0.14","0.14","0.162"
"275","V2",3410389,"X41","


3","1","0","0","0.201"
"335","V2",3485279,"X41","An extremely strong
foreign accent
9","1","0.778","0.778","0.791"
"395","V2",3855539,"X41","


6","1","1.344","1.344","1.369"
"455","V2",3927255,"X41","A native English speaker
1","1","0.08","0.08","0.086"
"515","V2",4464430,"X41","


6","1","1.536","1.536","1.52"
"575","V2",5641834,"X41","


2","1","0.955","0.955","0.97"
"635","V2",5721779,"X41","


5","1","0.479","0.479","0.488"
"695","V2",7348964,"X41","


3","1","4.145","4.145","4.163"
"755","V2",7723805,"X41","


7","1","1.015","1.015","1.035"
"815","V2",7914282,"X41","A native English speaker
1","1","0.3","0.3","0.314"
"875","V2",8728142,"X41","


6","1","0.405","0.405","0.414"
"935","V2",9087447,"X41","


4","1","1.712","1.712","1.725"
"995","V2",9827116,"X41","


3","1","1.253","1.253","1.268"
"1055","V2",9896160,"X41","


5","1","0.695","0.695","0.602"
"1115","V2",9919213,"X41","


3","1","0.512","0.512","0.452"
"36","V2",1316157,"X42","A native English speaker
1","1","0.101","0.101","0.287"
"96","V2",2174606,"X42","A native English speaker
1","1","0.358","0.358","0.379"
"156","V2",2218028,"X42","


5","1","0.419","0.419","0.428"
"216","V2",2620688,"X42","A native English speaker
1","1","0.18","0.18","0.206"
"276","V2",3410389,"X42","A native English speaker
1","1","0.005","0.005","0"
"336","V2",3485279,"X42","A native English speaker
1","1","3.465","3.465","3.49"
"396","V2",3855539,"X42","


5","1","1.621","1.621","1.653"
"456","V2",3927255,"X42","A native English speaker
1","1","0.03","0.03","0.037"
"516","V2",4464430,"X42","A native English speaker
1","2","0.455","0.76","0.863"
"576","V2",5641834,"X42","A native English speaker
1","1","0.758","0.758","0.772"
"636","V2",5721779,"X42","A native English speaker
1","1","0.087","0.087","0.094"
"696","V2",7348964,"X42","


7","1","1.496","1.496","1.526"
"756","V2",7723805,"X42","A native English speaker
1","1","0.546","0.546","0.574"
"816","V2",7914282,"X42","A native English speaker
1","1","1.28","1.28","1.2"
"876","V2",8728142,"X42","A native English speaker
1","1","0.002","0.002","0.015"
"936","V2",9087447,"X42","A native English speaker
1","1","0.307","0.307","0.32"
"996","V2",9827116,"X42","A native English speaker
1","1","0.698","0.698","0.708"
"1056","V2",9896160,"X42","A native English speaker
1","1","0.134","0.134","0.148"
"1116","V2",9919213,"X42","A native English speaker
1","1","0.122","0.122","0.103"
"37","V2",1316157,"X43","A native English speaker
1","1","0.085","0.085","0"
"97","V2",2174606,"X43","A native English speaker
1","1","0.514","0.514","0.533"
"157","V2",2218028,"X43","A native English speaker
1","1","0.319","0.319","0.329"
"217","V2",2620688,"X43","A native English speaker
1","1","0.026","0.026","0.047"
"277","V2",3410389,"X43","A native English speaker
1","1","0.133","0.133","0.2"
"337","V2",3485279,"X43","A native English speaker
1","1","0.489","0.489","0.402"
"397","V2",3855539,"X43","


5","2","21.398","22.031","22.073"
"457","V2",3927255,"X43","A native English speaker
1","1","0.065","0.065","0.072"
"517","V2",4464430,"X43","A native English speaker
1","1","0.237","0.237","0.461"
"577","V2",5641834,"X43","A native English speaker
1","1","0.967","0.967","0.985"
"637","V2",5721779,"X43","


3","1","0.488","0.488","0.495"
"697","V2",7348964,"X43","


2","1","1.665","1.665","1.697"
"757","V2",7723805,"X43","A native English speaker
1","1","0.462","0.462","0.498"
"817","V2",7914282,"X43","A native English speaker
1","1","0.251","0.251","0.267"
"877","V2",8728142,"X43","A native English speaker
1","1","0.062","0.062","0.07"
"937","V2",9087447,"X43","A native English speaker
1","1","0.402","0.402","0.412"
"997","V2",9827116,"X43","A native English speaker
1","1","1.506","1.506","1.515"
"1057","V2",9896160,"X43","A native English speaker
1","1","0.012","0.012","0.027"
"1117","V2",9919213,"X43","A native English speaker
1","1","0.458","0.458","0.427"
"38","V2",1316157,"X44","A native English speaker
1","1","0.111","0.111","0.157"
"98","V2",2174606,"X44","A native English speaker
1","1","0.529","0.529","0.547"
"158","V2",2218028,"X44","A native English speaker
1","1","0.04","0.04","0.05"
"218","V2",2620688,"X44","


2","1","1.566","1.566","1.5"
"278","V2",3410389,"X44","A native English speaker
1","1","0.016","0.016","0"
"338","V2",3485279,"X44","A native English speaker
1","1","0.078","0.078","0.094"
"398","V2",3855539,"X44","


6","1","73.545","73.545","73.582"
"458","V2",3927255,"X44","A native English speaker
1","1","0.287","0.287","0.295"
"518","V2",4464430,"X44","A native English speaker
1","1","0.019","0.019","0"
"578","V2",5641834,"X44","A native English speaker
1","1","0.455","0.455","0.47"
"638","V2",5721779,"X44","


2","1","0.356","0.356","0.364"
"698","V2",7348964,"X44","


3","1","0.426","0.426","0.444"
"758","V2",7723805,"X44","A native English speaker
1","1","0.296","0.296","0.32"
"818","V2",7914282,"X44","A native English speaker
1","1","0.261","0.261","0.277"
"878","V2",8728142,"X44","A native English speaker
1","1","0.12","0.12","0.129"
"938","V2",9087447,"X44","A native English speaker
1","1","0.474","0.474","0.487"
"998","V2",9827116,"X44","A native English speaker
1","1","0.667","0.667","0.676"
"1058","V2",9896160,"X44","A native English speaker
1","2","0.04","0.842","0.857"
"1118","V2",9919213,"X44","A native English speaker
1","1","0.245","0.245","0.204"
"39","V2",1316157,"X45","A native English speaker
1","1","1.304","1.304","1.391"
"99","V2",2174606,"X45","A native English speaker
1","1","0.517","0.517","0.538"
"159","V2",2218028,"X45","A native English speaker
1","1","0.096","0.096","0"
"219","V2",2620688,"X45","A native English speaker
1","1","0.046","0.046","0.064"
"279","V2",3410389,"X45","A native English speaker
1","1","0","0","0.184"
"339","V2",3485279,"X45","A native English speaker
1","1","0.074","0.074","0.086"
"399","V2",3855539,"X45","


7","1","0.792","0.792","0.701"
"459","V2",3927255,"X45","A native English speaker
1","2","0.021","0.682","0.689"
"519","V2",4464430,"X45","A native English speaker
1","1","0.1","0.1","0.279"
"579","V2",5641834,"X45","


2","1","0.584","0.584","0.603"
"639","V2",5721779,"X45","A native English speaker
1","1","0.038","0.038","0.045"
"699","V2",7348964,"X45","


7","1","0.511","0.511","0.553"
"759","V2",7723805,"X45","A native English speaker
1","1","0.151","0.151","0.172"
"819","V2",7914282,"X45","A native English speaker
1","1","0.305","0.305","0.322"
"879","V2",8728142,"X45","A native English speaker
1","1","0.128","0.128","0.138"
"939","V2",9087447,"X45","A native English speaker
1","1","0.359","0.359","0.373"
"999","V2",9827116,"X45","A native English speaker
1","1","0.561","0.561","0.571"
"1059","V2",9896160,"X45","A native English speaker
1","1","0.29","0.29","0.202"
"1119","V2",9919213,"X45","A native English speaker
1","1","0.404","0.404","0.478"
"40","V2",1316157,"X46","A native English speaker
1","1","0.066","0.066","0"
"100","V2",2174606,"X46","


4","1","0.918","0.918","0.939"
"160","V2",2218028,"X46","A native English speaker
1","1","2.75","2.75","2.761"
"220","V2",2620688,"X46","A native English speaker
1","1","0.177","0.177","0.101"
"280","V2",3410389,"X46","A native English speaker
1","1","0","0","0.266"
"340","V2",3485279,"X46","A native English speaker
1","1","0.105","0.105","0.12"
"400","V2",3855539,"X46","


5","1","2.618","2.618","2.647"
"460","V2",3927255,"X46","


5","1","0.149","0.149","0.156"
"520","V2",4464430,"X46","A native English speaker
1","0","0","0","0"
"580","V2",5641834,"X46","


2","1","0.815","0.815","0.831"
"640","V2",5721779,"X46","A native English speaker
1","1","0.026","0.026","0.033"
"700","V2",7348964,"X46","A native English speaker
1","1","0.938","0.938","0.961"
"760","V2",7723805,"X46","A native English speaker
1","1","0.615","0.615","0.628"
"820","V2",7914282,"X46","A native English speaker
1","1","0.715","0.715","0.73"
"880","V2",8728142,"X46","A native English speaker
1","1","1.386","1.386","1.301"
"940","V2",9087447,"X46","A native English speaker
1","1","0.715","0.715","0.728"
"1000","V2",9827116,"X46","A native English speaker
1","1","0.962","0.962","0.972"
"1060","V2",9896160,"X46","A native English speaker
1","1","0.061","0.061","0.076"
"1120","V2",9919213,"X46","


2","1","0.219","0.219","0.287"
"41","V2",1316157,"X47","A native English speaker
1","1","1.229","1.229","1.825"
"101","V2",2174606,"X47","A native English speaker
1","1","0.444","0.444","0.462"
"161","V2",2218028,"X47","A native English speaker
1","1","0.087","0.087","0.096"
"221","V2",2620688,"X47","A native English speaker
1","1","0.002","0.002","0.029"
"281","V2",3410389,"X47","A native English speaker
1","1","0.094","0.094","0"
"341","V2",3485279,"X47","A native English speaker
1","1","0.267","0.267","0.279"
"401","V2",3855539,"X47","


6","2","33.539","34.981","35.019"
"461","V2",3927255,"X47","A native English speaker
1","1","0.764","0.764","0.77"
"521","V2",4464430,"X47","A native English speaker
1","1","1.226","1.226","1.221"
"581","V2",5641834,"X47","


4","1","1.246","1.246","1.265"
"641","V2",5721779,"X47","A native English speaker
1","1","0.153","0.153","0.16"
"701","V2",7348964,"X47","


2","1","0.94","0.94","0.957"
"761","V2",7723805,"X47","A native English speaker
1","1","0.299","0.299","0.319"
"821","V2",7914282,"X47","A native English speaker
1","1","0.337","0.337","0.352"
"881","V2",8728142,"X47","A native English speaker
1","1","2.328","2.328","2.342"
"941","V2",9087447,"X47","A native English speaker
1","1","0.587","0.587","0.598"
"1001","V2",9827116,"X47","A native English speaker
1","1","2.566","2.566","2.577"
"1061","V2",9896160,"X47","A native English speaker
1","1","0.809","0.809","0.827"
"1121","V2",9919213,"X47","A native English speaker
1","1","0.532","0.532","0.5"
"42","V2",1316157,"X48","A native English speaker
1","1","0.249","0.249","0.203"
"102","V2",2174606,"X48","A native English speaker
1","1","0.539","0.539","0.556"
"162","V2",2218028,"X48","A native English speaker
1","1","0.15","0.15","0.161"
"222","V2",2620688,"X48","A native English speaker
1","1","0.004","0.004","0.036"
"282","V2",3410389,"X48","A native English speaker
1","1","0.083","0.083","0"
"342","V2",3485279,"X48","


3","1","2.076","2.076","2.093"
"402","V2",3855539,"X48","


6","1","37.099","37.099","37.129"
"462","V2",3927255,"X48","


3","1","0.207","0.207","0.214"
"522","V2",4464430,"X48","A native English speaker
1","1","1.823","1.823","1.752"
"582","V2",5641834,"X48","


3","1","0.973","0.973","0.986"
